Cellline	Type	p53*	T2*	SF2	SF5	SF8	D0	n	Casp8	Casp16	Alpha	Beta	Alpha/Beta
786-0	Renal	Mut.	23	0.457	0.1027	0.0059	1	12	3.22	2.97	0.349100818	0.021217563	16.4533892
A498	Renal	W.t.	65	0.5	0.08	0.0088	1.39	3.17	1.07	1.58	0.240858831	0.05285738	4.556768296
A549/ATCC	Lung	W.t.	24	0.68	0.25	0.05	1.79	4.3	1.26	1.42	0.136546153	0.028142544	4.851947742
ACHN	Renal	W.t.	31	0.648	0.475	0.278	6.2	0.96	2.31	2.31	0.262295089	-0.022681399	-11.56432597
BT-549	Breast	Mut.	58	0.4	0.05	0.015	1.79	1.03	1.45	1.59	0.36414464	0.047000363	7.747698474
CAKI-1	Renal	W.t.	38	0.364	0.02	0.0049	1.08	2.28	1.18	1.21	0.320564775	0.092367965	3.470518972
CCRF-CEM	Lymphoid	Mut.	27	0.15	0.005	5.96E-05	0.77	2.4	1.42	1.18	0.874491005	0.037034494	23.61287869
COLO205	Colon	Mut.	23	0.048	0.0011	0.0003	0.95	0.52	1.15	4.49	1.622135877	-0.051929371	-31.2373486
DU-145	Prostate	Mut.	37	0.646	0.205	0.0234	1.4	7.6	1.37	1.39	0.152830439	0.032823724	4.656096876
EKVX	Lung	Mut.	37	0.94	0.183	0.046	2	2.48	2.03	1.33	-0.174873047	0.102905374	-1.699357764
HCC-2998	Colon	Mut.	33	0.67	0.051	0.00045	0.61	241	1.75	1.63	-0.063059314	0.131649049	-0.478995592
HCT-116	Colon	W.t.	18	0.465	0.028	0.0019	1.08	2.85	2.59	3.04	0.161358125	0.110750406	1.456952905
HCT-15	Colon	Mut.	21	0.659	0.338	0.2006	4.8	0.98	0.46	1.42	0.202898536	0.002808668	72.24012409
HL-60(TB)	Lymphoid	Mut.	27	0.085	0.0012	0.0000035	0.6	3	1.93	1.24	1.157528856	0.037511578	30.8579091
HOP-62	Lung	Mut.	46	0.288	0.091	0.046	2.38	0.49	1.02	1.36	0.717742896	-0.047672748	-15.05562237
HOP-92	Lung	Mut.	88	0.29	0.033	0.00093	0.85	11.6	0.93	1.06	0.576728934	0.021104122	27.32778643
HS578T	Breast	Mut.	57	0.48	0.15	0.035	2.04	1.21	1.8	1.61	0.358691648	0.00414647	86.50530792
HT29	Colon	Mut.	20	0.74	0.5	0.332	7.25	0.99	1.93	2.17	0.158501287	-0.00397437	-39.88085731
IGROV1	Ovary	W.t.	35	0.389	0.14	0.0603	2.85	0.88	1.7	1.32	0.524664899	-0.026288465	-19.95798877
K-562	Lymphoid	Mut.	19	0.0505	0.003	0.00085	1.06	0.33	1.78	2.52	1.71359922	-0.110354124	-15.52818464
KM12	Colon	Mut.	23	0.505	0.093	0.0038	0.9	24	1.57	0.73	0.25264327	0.044477577	5.680239
LOX-IMVI	Melanoma	W.t.	21	0.184	0.031	0.002	1.3	0.99	1.64	1.88	0.947513858	-0.050552049	-18.74333255
M14	Melanoma	Mut.	27	0.621	0.147	0.018	1.45	4.92	1.32	1.42	0.141377139	0.04841748	2.919960697
MALME-3M	Melanoma	W.t.	35	0.567	0.077	0.002	0.8	34	1.42	1.07	0.130969998	0.076363995	1.715075267
MCF7	Breast	W.t.	26	0.77	0.32	0.11	2.75	1.52	3.49	7.17	0.065879399	0.032401492	2.033221186
MDA-MB-231	Breast	Mut.	39	0.459	0.094	0.008	1.5	205	1.47	1.42	0.333659491	0.027846522	11.98208867
MDA-MB-435	Melanoma	Mut.	28	0.57	0.176	0.0083	1.4	3.19	2.92	1.7	0.2367962261	0.022131599	10.69946451
MDA-N	Melanoma	Mut.	23	0.7	0.18	0.031	1.71	3.38	1.43	1.88	0.06858933	0.054874071	1.249940601
MOLT-4	Lymphoid	W.t.	27	0.038	0.0011	0.000021	0.69	0.5	1.47	1.2	1.816814919	-0.09086518	-19.99462193
NCI-H226	Lung	Mut.	64	0.631	0.225	0.122	3.7	1.01	1.38	1.42	0.18482053	0.022702089	8.141124359
NCI-H23	Lung	Mut.	37	0.218	0.032	0.0034	1.35	0.97	1.53	1.21	0.810447597	-0.024408744	-33.20316634
NCI-H322M	Lung	Mut.	37	0.65	0.17	0.008	0.9	27.7	1.68	1.67	0.122724851	0.046333303	2.648739503
NCI-H460	Lung	W.t.	18	0.749	0.601	0.247	6.3	1.07	1.24	0.87	0.172958867	-0.01422536	-12.1584882
NCI-H522	Lung	Mut.	50	0.43	0.05	0.0026	2.31	2.7	1.26	1.04	0.303877422	0.059053807	5.145771966
NCI/ADR-RES	Ovary	Mut.	34	0.561	0.041	0.0071	1.4	2.09	1.1	1.37	0.055804216	0.116606485	0.478568719
OVCAR-3	Ovary	Mut.	37	0.577	0.109	0.0145	1.5	2.9	1.56	0.8	0.162739857	0.056108324	2.900458342
OVCAR-4	Ovary	W.t.	40	0.241	0.0133	0.00092	1.1	1.15	1.1	2.11	0.609799789	0.050839692	11.99456104
OVCAR-5	Ovary	Mut.	55	0.66	0.201	0.0402	1.8	2.94	1.5	1.12	0.132336154	0.037710784	3.509238991
OVCAR-8	Ovary	Mut.	25	0.561	0.132	0.0074	1	16.1	1.98	1.84	0.21170153	0.038657828	5.476291357
PC-3	Prostate	Mut.	39	0.69	0.218	0.0162	1.1	20	1.36	1.26	0.106118372	0.039706734	2.672553523
RPMI-8226	Lymphoid	Mut.	31	0.099	0.00188	4.55E-05	0.85	1.08	1.95	1.78	1.090331724	0.032992995	33.04736999
RXF-393	Renal	Mut.	40	0.67	0.315	0.08	2.25	2.63	1.33	1.29	0.179706953	0.010265915	17.50520582
SF-268	CNS	Mut.	34	0.5	0.186	0.0227	0.8	90	1.02	1.08	0.353354836	-0.003390623	-104.2153105
SF-295	CNS	Mut.	30	0.73	0.214	0.0526	1.44	2.37	2.04	0.47	0.056688386	0.050333493	1.126255732
SF-539	CNS	W.t.	34	0.55	0.215	0.159	3.2	1.01	1.89	1.34	0.293248534	0.002834983	103.4392469
SK-MEL-2	Melanoma	Mut.	50	0.48	0.081	0.0065	1.2	2.28	1.02	1.1	0.276533496	0.045225546	6.114541931
